Datetime,Open,High,Low,Close,Adj Close,Volume
2015-01-01,440.34344482421875,476.0249938964844,477.20001220703125,472.5249938964844,475.5,1772470
2015-01-02,446.4718322753906,482.6499938964844,484.6499938964844,475.20001220703125,475.20001220703125,2950192
2015-01-05,442.7022705078125,478.57501220703125,485.2749938964844,477.54998779296875,485.0,2398000
2015-01-06,435.81072998046875,471.125,478.2749938964844,468.7749938964844,477.0,4109840
2015-01-07,437.0826416015625,472.5,475.67498779296875,468.125,469.8500061035156,2873056
2015-01-08,446.263671875,482.42498779296875,484.4750061035156,474.1000061035156,477.125,4762912
2015-01-09,451.2589416503906,487.82501220703125,490.0,483.29998779296875,486.45001220703125,4492592
2015-01-12,447.2812805175781,483.5249938964844,487.20001220703125,482.25,484.70001220703125,2063206
2015-01-13,445.56988525390625,481.67498779296875,485.9750061035156,477.8500061035156,484.4750061035156,2914174
2015-01-14,445.8243103027344,481.95001220703125,487.32501220703125,479.8500061035156,480.0249938964844,1842616
2015-01-15,459.35308837890625,496.57501220703125,499.1000061035156,485.375,495.0,5699238
2015-01-16,463.14569091796875,500.67498779296875,507.45001220703125,499.2749938964844,501.1000061035156,3910654
2015-01-19,464.6257629394531,502.2749938964844,510.0,501.4750061035156,506.625,2119746
2015-01-20,472.2111511230469,510.4750061035156,513.5,501.0,505.0,4252902
2015-01-21,471.7486267089844,509.9750061035156,516.4749755859375,509.17498779296875,513.7000122070312,3370306
2015-01-22,472.34991455078125,510.625,516.25,509.2749938964844,512.5,3235340
2015-01-23,482.3172607421875,521.4000244140625,524.0,512.2000122070312,515.0,4993956
2015-01-27,496.7710266113281,537.0250244140625,538.875,520.4500122070312,521.5,4981200
2015-01-28,489.50946044921875,529.1749877929688,546.5999755859375,527.5,535.0,5682470
2015-01-29,506.4608154296875,547.5,550.2999877929688,530.5,537.5,10283808
2015-01-30,498.29736328125,538.6749877929688,547.2750244140625,532.125,547.2750244140625,5285208
2015-02-02,500.2630615234375,540.7999877929688,546.5,526.1749877929688,534.25,2855176
2015-02-03,492.1689147949219,532.0499877929688,541.0999755859375,527.6500244140625,539.25,5100344
2015-02-04,493.8340148925781,533.8499755859375,540.4000244140625,528.625,531.5,3098756
2015-02-05,497.9042053222656,538.25,546.4000244140625,535.1749877929688,537.5,4029574
2015-02-06,487.2662353515625,526.75,539.4749755859375,525.0250244140625,538.5,3451560
2015-02-09,481.0683898925781,520.0499877929688,525.875,517.25,523.5,2615948
2015-02-10,487.7055969238281,527.2249755859375,531.1500244140625,515.0,515.0,4637876
2015-02-11,489.5325927734375,529.2000122070312,532.4000244140625,526.5,529.0,2080794
2015-02-12,497.67291259765625,538.0,540.9500122070312,526.3499755859375,532.5499877929688,2762870
2015-02-13,492.95526123046875,532.9000244140625,541.0,531.7999877929688,540.5999755859375,3857250
2015-02-16,493.76470947265625,533.7750244140625,542.5,531.25,537.9000244140625,3694358
2015-02-18,497.117919921875,537.4000244140625,541.4749755859375,528.5250244140625,533.7750244140625,2690846
2015-02-19,499.43060302734375,539.9000244140625,542.4500122070312,531.9000244140625,537.0,2253502
2015-02-20,496.3084716796875,536.5250244140625,544.9500122070312,534.25,541.5,3103012
2015-02-23,493.7415771484375,533.75,540.7750244140625,531.0,538.5499877929688,2790782
2015-02-24,493.81097412109375,533.8250122070312,535.5,528.5499877929688,535.1500244140625,2923144
2015-02-25,486.7805480957031,526.2249755859375,537.4000244140625,525.0,535.0,2324262
2015-02-26,480.1664733886719,519.0750122070312,528.0,517.5499877929688,526.8250122070312,6213472
2015-02-27,487.4974060058594,527.0,529.2750244140625,522.7249755859375,522.7249755859375,5130892
2015-03-02,500.7024230957031,541.2750244140625,549.5,534.0,540.1749877929688,7192616
2015-03-03,501.0723571777344,541.6749877929688,546.0,538.5250244140625,543.2249755859375,3014674
2015-03-04,492.7239685058594,532.6500244140625,554.6500244140625,530.0,552.5,6138812
2015-03-05,501.88189697265625,542.5499877929688,545.0,531.25,532.5,4851226
2015-03-09,489.81011962890625,529.5,540.9000244140625,528.0,538.5250244140625,2877904
2015-03-10,486.8268737792969,526.2750244140625,531.125,522.5,531.0,2567418
2015-03-11,488.6306457519531,528.2249755859375,530.9500122070312,525.0,525.4500122070312,2732768
2015-03-12,487.77490234375,527.2999877929688,531.9500122070312,525.5499877929688,530.0499877929688,3765418
2015-03-13,482.24786376953125,521.3250122070312,532.0,517.2999877929688,530.0,2713390
2015-03-16,486.3644104003906,525.7750244140625,528.9500122070312,521.25,522.5,2674386
2015-03-17,489.3706970214844,529.0250244140625,532.9500122070312,521.4249877929688,530.0,2684652
2015-03-18,491.91461181640625,531.7750244140625,535.9500122070312,526.5999755859375,530.0750122070312,2574166
2015-03-19,486.6649475097656,526.0999755859375,536.9000244140625,524.3499755859375,535.5,2686786
2015-03-20,488.3763122558594,527.9500122070312,529.75,522.9749755859375,525.5,3241618
2015-03-23,484.606689453125,523.875,529.7000122070312,523.0,527.9749755859375,2723370
2015-03-24,480.0740051269531,518.9749755859375,528.5,517.7249755859375,521.6500244140625,4486782
2015-03-25,478.3627014160156,517.125,523.3499755859375,515.5499877929688,520.0250244140625,5304450
2015-03-26,465.7358093261719,503.4750061035156,516.0999755859375,501.04998779296875,513.4500122070312,17900310
2015-03-27,469.29730224609375,507.32501220703125,511.7749938964844,504.04998779296875,507.4750061035156,5420448
2015-03-30,479.5884094238281,518.4500122070312,519.5,506.3999938964844,510.0,3477572
2015-03-31,473.0205078125,511.3500061035156,519.9500122070312,507.42498779296875,519.9500122070312,2981128
2015-04-01,477.9001770019531,516.625,518.4249877929688,506.5,513.0499877929688,1922098
2015-04-06,477.2989196777344,515.9749755859375,518.4249877929688,509.8999938964844,517.5,3575586
2015-04-07,477.6689147949219,516.375,519.0999755859375,511.82501220703125,516.625,3098536
2015-04-08,478.9640197753906,517.7750244140625,521.2249755859375,515.0250244140625,520.0250244140625,2053072
2015-04-09,488.4687805175781,528.0499877929688,529.5,515.0,519.125,3501392
2015-04-10,482.24786376953125,521.3250122070312,526.5,517.4249877929688,526.5,3059662
2015-04-13,480.4671630859375,519.4000244140625,523.1500244140625,517.4000244140625,520.0,2281618
2015-04-15,477.1600646972656,515.8250122070312,524.3499755859375,512.5999755859375,520.0,2446998
2015-04-16,476.23504638671875,514.8250122070312,516.7750244140625,509.0,514.0,2805060
2015-04-17,470.9623107910156,509.125,513.9249877929688,508.0249938964844,512.5499877929688,2024506
2015-04-20,464.88018798828125,502.54998779296875,512.5,501.29998779296875,510.0,2594440
2015-04-21,463.90887451171875,501.5,507.20001220703125,497.79998779296875,502.5,3255372
2015-04-22,468.5803527832031,506.54998779296875,510.5,496.75,503.25,3382968
2015-04-23,468.76531982421875,506.75,512.0999755859375,503.04998779296875,510.0249938964844,4813914
2015-04-24,465.5046081542969,503.2250061035156,509.5,500.17498779296875,509.45001220703125,3602622
2015-04-27,465.04205322265625,502.7250061035156,506.25,498.0,503.4750061035156,3685352
2015-04-28,464.6257629394531,502.2749938964844,505.7250061035156,495.04998779296875,499.7749938964844,3971054
2015-04-29,459.35308837890625,496.57501220703125,504.75,494.0,502.0,3931782
2015-04-30,457.341064453125,494.3999938964844,497.5,489.5249938964844,495.5,7571842
2015-05-04,462.960693359375,500.4750061035156,504.75,496.0,497.0249938964844,1570724
2015-05-05,456.80914306640625,493.82501220703125,501.95001220703125,492.92498779296875,499.5249938964844,2569002
2015-05-06,448.92315673828125,485.29998779296875,493.75,482.75,493.75,5503848
2015-05-07,439.99652099609375,475.6499938964844,485.0,472.1000061035156,484.0,5868332
2015-05-08,454.1958923339844,491.0,493.8999938964844,477.70001220703125,480.75,5785966
2015-05-11,458.03485107421875,495.1499938964844,496.375,487.0249938964844,493.0249938964844,3365672
2015-05-12,449.5475769042969,485.9750061035156,495.0,483.5,495.0,5553784
2015-05-13,458.0117492675781,495.125,496.70001220703125,485.79998779296875,487.92498779296875,3895924
2015-05-14,458.3817443847656,495.5249938964844,497.42498779296875,487.0,494.5,2227594
2015-05-15,457.94232177734375,495.04998779296875,498.7749938964844,492.1000061035156,497.45001220703125,4076812
2015-05-18,467.0771179199219,504.92498779296875,506.0,496.0,498.0,2856652
2015-05-19,466.0133361816406,503.7749938964844,509.0,499.04998779296875,503.17498779296875,2393174
2015-05-20,473.64495849609375,512.0250244140625,513.4000244140625,504.7749938964844,504.82501220703125,2004420
2015-05-21,473.9455871582031,512.3499755859375,515.0,507.54998779296875,512.0,1967190
2015-05-22,473.7605895996094,512.1500244140625,514.5,509.17498779296875,512.3499755859375,2344768
2015-05-25,473.4136657714844,511.7749938964844,515.5,508.79998779296875,514.2000122070312,2184530
